IdSale,SaleNumber,IdCompany,CreateDate,TotalSale,IdWarehouse,IdBranchCompany,IdDocument,IdSaleDetails,IdProduct,Quantity,UnitPrice,NameProduct
6009434,72,314,2023-03-18,48000,500,462,8,10510951,368254,1,48000,BOLSO OSOS
6009573,73,314,2023-03-18,10000,500,462,8,10511197,365552,1,10000,Abonos
6009620,74,314,2023-03-18,68000,500,462,8,10511267,366463,1,68000,VESTIDO CRUZADO CORTO
6011158,75,314,2023-03-19,83000,500,462,8,10514058,367036,1,38000,SOMBRERO
6011158,75,314,2023-03-19,83000,500,462,8,10514059,367054,1,48000,FALDA ABERTURA
6011854,76,314,2023-03-19,110000,500,462,8,10515198,365180,1,50000,CAMISETA LISA
6011854,76,314,2023-03-19,110000,500,462,8,10515199,365215,1,68000,PANTALON DAMA CAMPANA
6012914,77,314,2023-03-19,45000,500,462,8,10517147,365201,1,48000,BLUSA CAMISERA DAMA LARGA
6013496,78,314,2023-03-19,102000,500,462,8,10518152,365552,1,54000,Abonos
6013496,78,314,2023-03-19,102000,500,462,8,10518153,365201,1,48000,BLUSA CAMISERA DAMA LARGA
6018721,82,314,2023-03-20,35000,500,462,8,10527776,365192,1,35000,CAMISETA DAMA ESTAMPADA
6018909,86,314,2023-03-20,40000,500,462,8,10528200,365552,1,40000,Abonos
6019027,88,314,2023-03-20,45000,500,462,8,10528448,365401,1,45000,BERMUDA
6019152,89,314,2023-03-20,20000,500,462,8,10528710,365202,1,38000,CAMISETA ESTAMPADA
6019202,90,314,2023-03-20,20000,500,462,8,10528807,365196,1,60000,SUETER  DAMA CUELLO TORTUGA
6019237,91,314,2023-03-20,91000,500,462,8,10528929,365200,1,46000,CAMISAS HOMBRE UNICOLOR
6019237,91,314,2023-03-20,91000,500,462,8,10528930,365401,1,45000,BERMUDA
6025776,93,314,2023-03-22,133000,500,462,8,10540345,365758,1,43000,BOLSO SILICONA
6025776,93,314,2023-03-22,133000,500,462,8,10540346,365182,1,90000,JEAN DAMA SKYNNY
6026596,94,314,2023-03-22,48000,500,462,8,10541775,366480,1,48000,CANGURO / PECHERA CUERO
6028112,95,314,2023-03-22,42000,500,462,8,10544424,368569,1,42000,BLUSA CRUZADA FAJON
6028165,96,314,2023-03-22,65000,500,462,8,10544502,365194,1,65000,"BUSO DAMA CUELLO REDONDO "
6030984,97,314,2023-03-23,47000,500,462,8,10549376,365757,1,47000,BOLSO CARRIEL FLORES
6032815,98,314,2023-03-23,40000,500,462,8,10552636,365400,1,40000,CAMISETA OVERSIZE
6033218,99,314,2023-03-23,109500,500,462,8,10553426,368533,1,22000,CAMISETAS VARIAS
6033218,99,314,2023-03-23,109500,500,462,8,10553427,365201,2,48000,BLUSA CAMISERA DAMA LARGA
6033286,100,314,2023-03-23,50000,500,462,8,10553537,365755,1,50000,BOLSO REFLECTIVO
