CreateDate,IdCompany,IdBranchCompany,IdWarehouse,IdProduct,Quantity,UnitPrice,day,month,year,dayofweek,weekofyear,Quantity_log,UnitPrice_log
2020-02-06,150,230,258,185089,4,1700.0,6,2,2020,3,6,1.6094379124341003,7.438971592395862
2020-02-06,150,230,258,185120,1,12000.0,6,2,2020,3,6,0.6931471805599453,9.392745258631441
2020-02-07,150,230,258,184865,1,29500.0,7,2,2020,4,6,0.6931471805599453,10.292179440058462
2020-02-07,150,230,258,184883,5,600.0,7,2,2020,4,6,1.791759469228055,6.398594934535208
2020-02-07,150,230,258,184911,1,2000.0,7,2,2020,4,6,0.6931471805599453,7.601402334583733
2020-02-07,150,230,258,184933,2,2500.0,7,2,2020,4,6,1.0986122886681098,7.824445930877619
2020-02-07,150,230,258,184947,3,100.0,7,2,2020,4,6,1.3862943611198906,4.61512051684126
2020-02-07,150,230,258,184988,1,11000.0,7,2,2020,4,6,0.6931471805599453,9.305741456739435
2020-02-07,150,230,258,184995,1,10500.0,7,2,2020,4,6,0.6931471805599453,9.259225769705994
2020-02-07,150,230,258,184997,1,12000.0,7,2,2020,4,6,0.6931471805599453,9.392745258631441
2020-02-07,150,230,258,185001,1,6500.0,7,2,2020,4,6,0.6931471805599453,8.77971129020447
2020-02-07,150,230,258,185003,1,6500.0,7,2,2020,4,6,0.6931471805599453,8.77971129020447
2020-02-07,150,230,258,185011,1,20000.0,7,2,2020,4,6,0.6931471805599453,9.90353755128617
2020-02-07,150,230,258,185037,1,18000.0,7,2,2020,4,6,0.6931471805599453,9.798182590890704
2020-02-07,150,230,258,185042,1,22000.0,7,2,2020,4,6,0.6931471805599453,9.99884318585288
2020-02-07,150,230,258,185080,1,5500.0,7,2,2020,4,6,0.6931471805599453,8.612685172875459
2020-02-07,150,230,258,185085,6,100.0,7,2,2020,4,6,1.9459101490553132,4.61512051684126
2020-02-07,150,230,258,185086,2,2000.0,7,2,2020,4,6,1.0986122886681098,7.601402334583733
