date,IdProduct,IdWarehouse,Actual_Quantity,Predicted_Quantity,Error
2025-01-01,184973,258,1.0,2.2,-1.2000000000000002
2025-01-01,184938,258,1.0,1.38,-0.3799999999999999
2025-01-01,184935,258,5.0,7.81,-2.8099999999999996
2025-01-01,184934,258,2.0,2.46,-0.45999999999999996
2025-01-01,184860,258,1.0,1.29,-0.29000000000000004
2025-01-01,184864,258,1.0,1.38,-0.3799999999999999
2025-01-01,184865,258,1.0,1.49,-0.49
2025-01-01,191527,258,2.0,1.95,0.050000000000000044
2025-01-01,184869,258,1.0,1.65,-0.6499999999999999
2025-01-01,184873,258,3.0,2.36,0.6400000000000001
2025-01-01,184874,258,3.0,1.57,1.43
2025-01-01,184881,258,5.0,4.59,0.41000000000000014
2025-01-01,184883,258,14.0,28.87,-14.870000000000001
2025-01-01,184885,258,9.0,2.29,6.71
2025-01-01,184891,258,4.0,4.76,-0.7599999999999998
2025-01-01,184893,258,1.0,1.84,-0.8400000000000001
2025-01-01,184897,258,2.0,1.26,0.74
2025-01-01,184899,258,2.0,2.26,-0.2599999999999998
2025-01-01,184903,258,3.0,2.68,0.31999999999999984
2025-01-01,184910,258,1.0,2.64,-1.6400000000000001
2025-01-01,184911,258,1.0,2.1,-1.1
2025-01-01,184912,258,7.0,14.72,-7.720000000000001
2025-01-01,184920,258,1.0,1.42,-0.41999999999999993
2025-01-01,184921,258,1.0,2.34,-1.3399999999999999
2025-01-01,184922,258,2.0,1.42,0.5800000000000001
2025-01-01,184930,258,1.0,1.23,-0.22999999999999998
2025-01-01,185035,258,1.0,1.09,-0.09000000000000008
2025-01-01,185037,258,3.0,1.25,1.75
2025-01-01,184868,258,2.0,2.25,-0.25
2025-01-01,185041,258,1.0,1.57,-0.5700000000000001
2025-01-01,186229,258,5.0,4.04,0.96
2025-01-01,187349,258,4.0,1.41,2.59
2025-01-01,187515,258,4.0,5.92,-1.92
2025-01-01,187519,258,3.0,3.9,-0.8999999999999999
2025-01-01,187585,258,1.0,1.26,-0.26
2025-01-01,187587,258,2.0,1.24,0.76
2025-01-01,187588,258,2.0,2.46,-0.45999999999999996
2025-01-01,187785,258,3.0,1.75,1.25
2025-01-01,187788,258,1.0,1.37,-0.3700000000000001
2025-01-01,188007,258,3.0,3.54,-0.54
2025-01-01,186227,258,1.0,1.87,-0.8700000000000001
2025-01-01,188879,258,1.0,1.23,-0.22999999999999998
2025-01-01,188881,258,3.0,4.11,-1.1100000000000003
2025-01-01,188882,258,5.0,1.75,3.25
2025-01-01,188883,258,3.0,2.31,0.69
2025-01-01,189107,258,1.0,1.68,-0.6799999999999999
2025-01-01,189128,258,2.0,1.74,0.26
2025-01-01,189132,258,1.0,1.99,-0.99
2025-01-01,189521,258,1.0,1.61,-0.6100000000000001
2025-01-01,190074,258,2.0,1.38,0.6200000000000001
2025-01-01,190079,258,2.0,2.64,-0.6400000000000001
2025-01-01,188880,258,3.0,1.56,1.44
2025-01-01,186007,258,1.0,1.09,-0.09000000000000008
2025-01-01,185983,258,2.0,3.72,-1.7200000000000002
2025-01-01,185984,258,2.0,2.8,-0.7999999999999998
2025-01-01,185052,258,1.0,1.32,-0.32000000000000006
2025-01-01,185059,258,2.0,1.2,0.8
2025-01-01,185061,258,6.0,2.26,3.74
2025-01-01,185069,258,15.0,5.13,9.870000000000001
2025-01-01,185079,258,1.0,2.64,-1.6400000000000001
2025-01-01,185080,258,3.0,6.48,-3.4800000000000004
2025-01-01,185081,258,2.0,2.28,-0.2799999999999998
2025-01-01,185085,258,117.0,88.08,28.92
2025-01-01,185089,258,13.0,8.89,4.109999999999999
2025-01-01,185107,258,1.0,2.17,-1.17
2025-01-01,185056,258,1.0,1.26,-0.26
2025-01-01,185179,258,1.0,2.36,-1.3599999999999999
2025-01-01,185982,258,6.0,9.15,-3.1500000000000004
2025-01-01,185175,258,2.0,1.63,0.3700000000000001
2025-01-01,185979,258,3.0,3.32,-0.31999999999999984
2025-01-01,185978,258,3.0,2.38,0.6200000000000001
2025-01-01,185875,258,8.0,2.17,5.83
2025-01-01,185044,258,1.0,1.1,-0.10000000000000009
2025-01-01,185872,258,4.0,3.06,0.94
2025-01-01,185868,258,3.0,3.81,-0.81
2025-01-01,185697,258,4.0,1.42,2.58
2025-01-01,185181,258,2.0,1.12,0.8799999999999999
2025-01-01,185874,258,7.0,2.44,4.5600000000000005
