Fecha,Producto,Bodega,Real,Predicho,Diferencia,Error_Abs,Sugerencia_Compra
2025-01-01,195650,258,1.0,1.9857774413341143,-0.9857774413341143,0.9857774413341143,2.0
2025-01-01,197798,258,3.0,1.8426054854782357,1.1573945145217643,1.1573945145217643,2.0
2025-01-01,197699,258,1.0,1.9234173398642387,-0.9234173398642387,0.9234173398642387,2.0
2025-01-01,197676,258,2.0000000000000004,2.164076381654458,-0.16407638165445748,0.16407638165445748,3.0
2025-01-01,195883,258,3.999999999999999,3.7270588399585804,0.27294116004141866,0.27294116004141866,4.0
2025-01-01,198115,258,1.0,1.197172255126846,-0.197172255126846,0.197172255126846,2.0
2025-01-01,197254,258,1.0,1.2722420047277874,-0.27224200472778737,0.27224200472778737,2.0
2025-01-01,199849,258,1.0,1.38087768331126,-0.38087768331125993,0.38087768331125993,2.0
2025-01-01,198235,258,1.0,1.340971078795416,-0.3409710787954161,0.3409710787954161,2.0
2025-01-01,198239,258,1.0,1.4165770217387634,-0.41657702173876343,0.41657702173876343,2.0
2025-01-01,198794,258,2.0000000000000004,8.758437823991194,-6.758437823991194,6.758437823991194,9.0
2025-01-01,198795,258,2.0000000000000004,1.2468376690269385,0.753162330973062,0.753162330973062,2.0
2025-01-01,199763,258,5.999999999999999,2.819706473669674,3.180293526330325,3.180293526330325,3.0
2025-01-01,199848,258,2.0000000000000004,3.7711994078841053,-1.771199407884105,1.771199407884105,4.0
2025-01-01,199856,258,2.0000000000000004,2.1120011136843817,-0.11200111368438126,0.11200111368438126,3.0
2025-01-01,194631,258,1.0,1.6185726169840646,-0.6185726169840646,0.6185726169840646,2.0
2025-01-01,198234,258,1.0,1.1806472152850578,-0.18064721528505778,0.18064721528505778,2.0
2025-01-01,194564,258,3.999999999999999,1.4653791725926677,2.5346208274073314,2.5346208274073314,2.0
2025-01-01,193421,258,1.0,1.309412430467586,-0.30941243046758604,0.30941243046758604,2.0
2025-01-01,192083,258,1.0,1.45230019225645,-0.45230019225645,0.45230019225645,2.0
2025-01-01,192127,258,1.0,1.3952204762144707,-0.39522047621447065,0.39522047621447065,2.0
2025-01-01,192128,258,3.0,4.47201279819785,-1.4720127981978504,1.4720127981978504,5.0
2025-01-01,192398,258,1.0,1.1700246407046997,-0.1700246407046997,0.1700246407046997,2.0
2025-01-01,192413,258,1.0,1.2330790536225722,-0.2330790536225722,0.2330790536225722,2.0
2025-01-01,192420,258,1.0,1.3584613049596093,-0.35846130495960926,0.35846130495960926,2.0
2025-01-01,192474,258,1.0,1.673644822341319,-0.673644822341319,0.673644822341319,2.0
2025-01-01,192563,258,1.0,2.4295996595344476,-1.4295996595344476,1.4295996595344476,3.0
2025-01-01,192691,258,1.0,1.1665937160794475,-0.1665937160794475,0.1665937160794475,2.0
2025-01-01,192703,258,1.0,1.1466351809660962,-0.14663518096609618,0.14663518096609618,2.0
2025-01-01,192777,258,3.0,2.7445183963161064,0.2554816036838936,0.2554816036838936,3.0
2025-01-01,192823,258,1.0,1.1013014677141162,-0.10130146771411619,0.10130146771411619,2.0
2025-01-01,192990,258,5.999999999999999,9.371723251425287,-3.371723251425288,3.371723251425288,10.0
2025-01-01,193188,258,8.000000000000002,6.377733085157269,1.6222669148427329,1.6222669148427329,7.0
2025-01-01,193371,258,1.0,1.4767728867530683,-0.4767728867530683,0.4767728867530683,2.0
2025-01-01,193404,258,1.0,2.263647509762018,-1.2636475097620181,1.2636475097620181,3.0
2025-01-01,304066,258,16.0,19.250584892678113,-3.2505848926781127,3.2505848926781127,20.0
2025-01-01,243178,258,3.999999999999999,1.1911089500539513,2.8088910499460478,2.8088910499460478,2.0
2025-01-01,244402,258,2.0000000000000004,1.7931913518913074,0.20680864810869304,0.20680864810869304,2.0
2025-01-01,244478,258,1.0,1.235044923069427,-0.23504492306942693,0.23504492306942693,2.0
2025-01-01,247466,258,1.0,2.4015371204604516,-1.4015371204604516,1.4015371204604516,3.0
2025-01-01,247472,258,2.0000000000000004,1.0294276416213664,0.9705723583786341,0.9705723583786341,2.0
2025-01-01,247601,258,1.0,1.057850016280145,-0.05785001628014497,0.05785001628014497,2.0
2025-01-01,249780,258,2.0000000000000004,2.0341391429687605,-0.03413914296876008,0.03413914296876008,3.0
2025-01-01,251073,258,3.999999999999999,3.6713389460838153,0.32866105391618383,0.32866105391618383,4.0
2025-01-01,257017,258,3.0,1.4251858003757736,1.5748141996242264,1.5748141996242264,2.0
2025-01-01,243167,258,1.0,1.3888473913042083,-0.3888473913042083,0.3888473913042083,2.0
2025-01-01,258593,258,1.0,1.495761593163294,-0.49576159316329393,0.49576159316329393,2.0
2025-01-01,268313,258,1.0,1.4428688207476266,-0.44286882074762657,0.44286882074762657,2.0
2025-01-01,269395,258,1.0,1.921938319093207,-0.9219383190932069,0.9219383190932069,2.0
2025-01-01,270591,258,16.999999999999996,10.409898144548608,6.590101855451389,6.590101855451389,11.0
2025-01-01,295483,258,1.0,1.2514981321397216,-0.2514981321397216,0.2514981321397216,2.0
2025-01-01,298297,258,5.999999999999999,1.75799749466186,4.242002505338139,4.242002505338139,2.0
2025-01-01,298298,258,3.0,1.5115985361014679,1.4884014638985321,1.4884014638985321,2.0
2025-01-01,304074,258,1.0,1.9452520769253563,-0.9452520769253563,0.9452520769253563,2.0
2025-01-01,304075,258,3.0,1.9160386366394957,1.0839613633605043,1.0839613633605043,2.0
2025-01-01,304076,258,1.0,1.1322715488573758,-0.1322715488573758,0.1322715488573758,2.0
